agent_id,model_name,action,count,avg_count_per_run,avg_frequency_per_run,n_runs
agent_1,gemma4:e4b,ATTEMPT_JOB,96.0,19.2,0.7516666666666667,5
agent_1,gemma4:e4b,DONATE,24.0,4.8,0.19972222222222222,5
agent_1,gemma4:e4b,ERROR,0.0,0.0,0.0,5
agent_1,gemma4:e4b,IDLE,3.0,0.6,0.0375,5
agent_1,gemma4:e4b,INACTIVE,1.0,0.2,0.01111111111111111,5
agent_2,nemotron-3-nano:4b,ATTEMPT_JOB,138.0,27.6,0.9199999999999999,5
agent_2,nemotron-3-nano:4b,DONATE,5.0,1.0,0.03333333333333333,5
agent_2,nemotron-3-nano:4b,ERROR,6.0,1.2,0.04,5
agent_2,nemotron-3-nano:4b,IDLE,1.0,0.2,0.006666666666666666,5
agent_2,nemotron-3-nano:4b,INACTIVE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,ATTEMPT_JOB,128.0,25.6,0.9111111111111111,5
agent_3,qwen3.5:4b,DONATE,9.0,1.8,0.07777777777777778,5
agent_3,qwen3.5:4b,ERROR,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,IDLE,0.0,0.0,0.0,5
agent_3,qwen3.5:4b,INACTIVE,1.0,0.2,0.01111111111111111,5
agent_4,qwen3:8b,ATTEMPT_JOB,71.0,14.2,0.685,5
agent_4,qwen3:8b,DONATE,6.0,1.2,0.05845238095238094,5
agent_4,qwen3:8b,ERROR,0.0,0.0,0.0,5
agent_4,qwen3:8b,IDLE,8.0,1.6,0.1005952380952381,5
agent_4,qwen3:8b,INACTIVE,13.0,2.6,0.15595238095238095,5
agent_5,qwen3.5:9b,ATTEMPT_JOB,40.0,8.0,0.5916847041847042,5
agent_5,qwen3.5:9b,DONATE,0.0,0.0,0.0,5
agent_5,qwen3.5:9b,ERROR,5.0,1.0,0.06897546897546898,5
agent_5,qwen3.5:9b,IDLE,6.0,1.2,0.10178571428571428,5
agent_5,qwen3.5:9b,INACTIVE,16.0,3.2,0.23755411255411257,5
